date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:52	18267/18267	---M--	200	added ('OK')	text/javascript	date:Mon,%2019%20Jul%202021%2015:52:53%20GMT	https://www.blogger.com/static/v1/jsbin/1639926472-comment_from_post_iframe.js	E:/thptthanglong/www.blogger.com/static/v1/jsbin/1639926472-comment_from_post_iframe.js	(from http://www.thptthanglong.me/2021/04/ai-hoi-ai-bieu-cha-me-hoc-sinh-nam-hoc.html)
13:30:52	71328/71328	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jul%202021%2006:30:48%20GMT	http://www.thptthanglong.me/2021/04/https	E:/thptthanglong/www.thptthanglong.me/2021/04/https.14.delayed	(from http://www.thptthanglong.me/2021/04/ai-hoi-ai-bieu-cha-me-hoc-sinh-nam-hoc.html)
13:30:53	184032/184032	---M--	200	added ('OK')	image/jpeg	etag:%223f7f170b954d41:0%22	http://thptkimlien-hanoi.edu.vn/data/data/IMG_8550.JPG	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/IMG_8550.jpg	(from http://www.thptthanglong.me/2021/04/ai-hoi-ai-bieu-cha-me-hoc-sinh-nam-hoc.html)
13:30:53	1344/1344	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://www.thptthanglong.me/feeds/4927495634389304137/comments/default	E:/thptthanglong/www.thptthanglong.me/feeds/4927495634389304137/comments/default	(from http://www.thptthanglong.me/2021/04/bung-no-cam-xuc-em-gala-project-12-kim.html)
13:31:13	164840/164840	---M--	200	added ('OK')	image/jpeg	etag:%22dea6fb32bb54d41:0%22	http://thptkimlien-hanoi.edu.vn/data/data/IMG_8563(1).JPG	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/IMG_8563(1).jpg	(from http://www.thptthanglong.me/2021/04/ai-hoi-ai-bieu-cha-me-hoc-sinh-nam-hoc.html)
13:31:14	1344/1344	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://www.thptthanglong.me/feeds/4286185398087880960/comments/default	E:/thptthanglong/www.thptthanglong.me/feeds/4286185398087880960/comments/default	(from http://www.thptthanglong.me/2021/04/dien-van-chao-mung-ngay-nha-giao-vn-20.html)
13:31:15	1344/1344	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://www.thptthanglong.me/feeds/2183693513728686998/comments/default	E:/thptthanglong/www.thptthanglong.me/feeds/2183693513728686998/comments/default	(from http://www.thptthanglong.me/2021/04/hanh-trinh-tham-quan-da-ngoai-2020-vinh.html)
13:31:18	154729/154729	---M--	200	added ('OK')	image/jpeg	etag:%221960fcbc67f9d31:0%22	http://thptkimlien-hanoi.edu.vn/data/data/3%20_%20Le%20tri%20an.JPG	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/3%20_%20Le%20tri%20an.jpg	(from http://www.thptthanglong.me/2021/04/bung-no-cam-xuc-em-gala-project-12-kim.html)
13:31:28	218217/218217	---M--	200	added ('OK')	image/jpeg	etag:%22361eb4367f9d31:0%22	http://thptkimlien-hanoi.edu.vn/data/data/2%20_%20Le%20tri%20an.JPG	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/2%20_%20Le%20tri%20an.jpg	(from http://www.thptthanglong.me/2021/04/bung-no-cam-xuc-em-gala-project-12-kim.html)
13:31:29	1344/1344	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://www.thptthanglong.me/feeds/1503194149117919162/comments/default	E:/thptthanglong/www.thptthanglong.me/feeds/1503194149117919162/comments/default	(from http://www.thptthanglong.me/2021/04/truong-thpt-nam-banh-cong-khai-du-toan.html)
13:31:48	204420/204420	---M--	200	added ('OK')	image/jpeg	etag:%22cf566dadc7c6d61:0%22	http://thptkimlien-hanoi.edu.vn/data/data/Tin%20nh%c3%a0%20tr%c6%b0%e1%bb%9dng/IMG_8240.JPG	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/Tin%20nh%c3%a0%20tr%c6%b0%e1%bb%9dng/IMG_8240.jpg	(from http://www.thptthanglong.me/2021/04/hanh-trinh-tham-quan-da-ngoai-2020-vinh.html)
13:31:53	146656/146656	---M--	200	added ('OK')	image/jpeg	etag:%226cd465b2ebd71:0%22	http://thptkimlien-hanoi.edu.vn/data/data/Tin%20nh%c3%a0%20tr%c6%b0%e1%bb%9dng/z2348000707170_13387b6be154373065b47ec3400c3d5d.jpg	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/Tin%20nh%c3%a0%20tr%c6%b0%e1%bb%9dng/z2348000707170_13387b6be154373065b47ec3400c3d5d.jpg	(from http://www.thptthanglong.me/2021/04/truong-thpt-nam-banh-cong-khai-du-toan.html)
13:31:55	396268/396268	---M--	200	added ('OK')	image/jpeg	etag:%2221703fef66f9d31:0%22	http://thptkimlien-hanoi.edu.vn/data/data/1%20_%20Le%20tri%20an.JPG	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/1%20_%20Le%20tri%20an.jpg	(from http://www.thptthanglong.me/2021/04/bung-no-cam-xuc-em-gala-project-12-kim.html)
13:32:00	38466/38466	---M--	200	added ('OK')	text/javascript	date:Tue,%2006%20Jul%202021%2009:00:00%20GMT	http://www.google.com/js/bg/oc-UE9F340X5Xk868w9B9rPXCBakDVeb7GU-wII6IwM.js	E:/thptthanglong/www.google.com/js/bg/oc-UE9F340X5Xk868w9B9rPXCBakDVeb7GU-wII6IwM.js	(from http://www.thptthanglong.me/2021/04/truong-thpt-nam-banh-cong-khai-du-toan.html)
13:32:01	35063/35063	---MC-	200	added ('OK')	text/javascript	date:Wed,%2021%20Jul%202021%2006:31:52%20GMT	http://www.thptthanglong.me/b/csi.js?h=oc-UE9F340X5Xk868w9B9rPXCBakDVeb7GU-wII6IwM	E:/thptthanglong/www.thptthanglong.me/b/csi476d.js	(from http://www.thptthanglong.me/2021/04/truong-thpt-nam-banh-cong-khai-du-toan.html)
13:32:04	312481/312481	---M--	200	added ('OK')	image/jpeg	etag:%22c02951f5c7c6d61:0%22	http://thptkimlien-hanoi.edu.vn/data/data/Tin%20nh%c3%a0%20tr%c6%b0%e1%bb%9dng/IMG_8243.JPG	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/Tin%20nh%c3%a0%20tr%c6%b0%e1%bb%9dng/IMG_8243.jpg	(from http://www.thptthanglong.me/2021/04/hanh-trinh-tham-quan-da-ngoai-2020-vinh.html)
13:32:05	136957/136957	---M--	200	added ('OK')	image/jpeg	etag:%22c0fc66872ebd71:0%22	http://thptkimlien-hanoi.edu.vn/data/data/Tin%20nh%c3%a0%20tr%c6%b0%e1%bb%9dng/z2348000707975_1f2c8eadf7a3468f6cac2c864357f44f.jpg	E:/thptthanglong/thptkimlien-hanoi.edu.vn/data/data/Tin%20nh%c3%a0%20tr%c6%b0%e1%bb%9dng/z2348000707975_1f2c8eadf7a3468f6cac2c864357f44f.jpg	(from http://www.thptthanglong.me/2021/04/truong-thpt-nam-banh-cong-khai-du-toan.html)
